id,pred
test_0,2
test_1,1
test_2,0
test_3,2
test_4,2
test_5,2
test_6,0
test_7,1
test_8,0
test_9,2
test_10,1
test_11,2
test_12,0
test_13,2
test_14,2
test_15,1
test_16,1
test_17,2
test_18,2
test_19,2
test_20,2
test_21,2
test_22,2
test_23,2
test_24,2
test_25,2
test_26,1
test_27,2
test_28,1
test_29,2
test_30,2
test_31,2
test_32,2
test_33,1
test_34,2
test_35,2
test_36,2
test_37,1
test_38,2
test_39,1
test_40,2
test_41,2
test_42,2
test_43,2
test_44,2
test_45,2
test_46,2
test_47,1
test_48,0
test_49,0
test_50,2
test_51,0
test_52,2
test_53,2
test_54,2
test_55,1
test_56,1
test_57,2
test_58,1
test_59,1
test_60,1
test_61,2
test_62,1
test_63,1
test_64,2
test_65,1
test_66,1
test_67,0
test_68,2
test_69,2
test_70,0
test_71,2
test_72,0
test_73,2
test_74,2
test_75,1
test_76,1
test_77,2
test_78,0
test_79,2
test_80,2
test_81,0
test_82,2
test_83,2
test_84,0
test_85,2
test_86,2
test_87,2
test_88,2
test_89,1
test_90,2
test_91,2
test_92,2
test_93,2
test_94,0
test_95,1
test_96,2
test_97,0
test_98,2
test_99,2
test_100,1
test_101,0
test_102,2
test_103,2
test_104,2
test_105,2
test_106,1
test_107,2
test_108,1
test_109,0
test_110,1
test_111,1
test_112,2
test_113,1
test_114,2
test_115,2
test_116,0
test_117,2
test_118,2
test_119,2
test_120,0
test_121,0
test_122,2
test_123,2
test_124,2
test_125,2
test_126,1
test_127,2
test_128,1
test_129,0
test_130,2
test_131,2
test_132,2
test_133,2
test_134,1
test_135,2
test_136,2
test_137,2
test_138,1
test_139,2
test_140,0
test_141,2
test_142,1
test_143,1
test_144,1
test_145,0
test_146,2
test_147,2
test_148,0
test_149,2
test_150,2
test_151,2
test_152,1
test_153,2
test_154,2
test_155,2
test_156,1
test_157,2
test_158,2
test_159,2
test_160,1
test_161,2
test_162,2
test_163,2
test_164,2
test_165,2
test_166,2
test_167,2
test_168,0
test_169,2
test_170,2
test_171,2
test_172,2
test_173,0
test_174,2
test_175,2
test_176,2
test_177,0
test_178,2
test_179,0
test_180,2
test_181,1
test_182,0
test_183,0
test_184,2
test_185,2
test_186,2
test_187,2
test_188,1
test_189,1
test_190,2
test_191,2
test_192,2
test_193,2
test_194,0
test_195,2
test_196,2
test_197,1
test_198,2
test_199,1
test_200,1
test_201,2
test_202,1
test_203,1
test_204,1
test_205,2
test_206,1
test_207,0
test_208,2
test_209,0
test_210,2
test_211,1
test_212,0
test_213,2
test_214,2
test_215,1
test_216,1
test_217,2
test_218,2
test_219,2
test_220,2
test_221,2
test_222,2
test_223,0
test_224,2
test_225,0
test_226,1
test_227,1
test_228,2
test_229,0
test_230,2
test_231,2
test_232,2
test_233,2
test_234,1
test_235,2
test_236,2
test_237,2
test_238,2
test_239,2
test_240,0
test_241,2
test_242,2
test_243,2
test_244,2
test_245,1
test_246,2
test_247,0
test_248,2
test_249,2
test_250,0
test_251,2
test_252,0
test_253,2
test_254,2
test_255,1
test_256,2
test_257,2
test_258,2
test_259,2
test_260,2
test_261,2
test_262,2
test_263,0
test_264,2
test_265,2
test_266,2
test_267,2
test_268,2
test_269,0
test_270,2
test_271,2
test_272,2
test_273,2
test_274,2
test_275,2
test_276,1
test_277,2
test_278,0
test_279,2
test_280,2
test_281,2
test_282,1
test_283,0
test_284,1
test_285,1
test_286,1
test_287,0
test_288,2
test_289,1
test_290,2
test_291,0
test_292,2
test_293,1
test_294,1
test_295,1
test_296,2
test_297,2
test_298,0
test_299,0
test_300,1
test_301,2
test_302,2
test_303,1
test_304,2
test_305,2
test_306,2
test_307,2
test_308,2
test_309,1
test_310,0
test_311,1
test_312,2
test_313,2
test_314,1
test_315,2
test_316,1
test_317,2
test_318,1
test_319,2
test_320,2
test_321,1
test_322,2
test_323,1
test_324,2
test_325,2
test_326,2
test_327,2
test_328,2
test_329,2
test_330,2
test_331,1
test_332,2
test_333,2
test_334,2
test_335,1
test_336,2
test_337,2
test_338,2
test_339,0
test_340,2
test_341,2
test_342,2
test_343,2
test_344,2
test_345,1
test_346,2
test_347,1
test_348,2
test_349,2
test_350,1
test_351,1
test_352,2
test_353,2
test_354,2
test_355,0
test_356,2
test_357,2
test_358,2
test_359,0
test_360,0
test_361,2
test_362,1
test_363,2
test_364,2
test_365,2
test_366,2
test_367,0
test_368,2
test_369,2
test_370,2
test_371,1
test_372,2
test_373,2
test_374,2
test_375,2
test_376,2
test_377,2
test_378,1
test_379,1
test_380,1
test_381,2
test_382,0
test_383,2
test_384,2
test_385,2
test_386,2
test_387,1
test_388,0
test_389,0
test_390,0
test_391,2
test_392,1
test_393,0
test_394,2
test_395,2
test_396,1
test_397,0
test_398,0
test_399,2
test_400,1
test_401,2
test_402,2
test_403,1
test_404,2
test_405,1
test_406,0
test_407,0
test_408,2
test_409,2
test_410,2
test_411,0
test_412,1
test_413,1
test_414,2
test_415,2
test_416,2
test_417,0
test_418,2
test_419,2
test_420,2
test_421,2
test_422,2
test_423,2
test_424,2
test_425,0
test_426,2
test_427,0
test_428,1
test_429,2
test_430,2
test_431,2
test_432,0
test_433,2
test_434,2
test_435,2
test_436,2
test_437,0
test_438,1
test_439,0
test_440,1
test_441,1
test_442,2
test_443,1
test_444,2
test_445,1
test_446,2
test_447,2
test_448,0
test_449,2
test_450,2
test_451,2
test_452,2
test_453,1
test_454,1
test_455,2
test_456,2
test_457,2
test_458,2
test_459,0
test_460,2
test_461,0
test_462,2
test_463,1
test_464,1
test_465,2
test_466,2
test_467,2
test_468,0
test_469,2
test_470,1
test_471,0
test_472,2
test_473,1
test_474,2
test_475,0
test_476,2
test_477,2
test_478,1
test_479,0
test_480,2
test_481,2
test_482,1
test_483,1
test_484,0
test_485,2
test_486,2
test_487,1
test_488,2
test_489,1
test_490,2
test_491,0
test_492,2
test_493,2
test_494,2
test_495,2
test_496,2
test_497,2
test_498,1
test_499,2
test_500,2
test_501,2
test_502,2
test_503,1
test_504,2
test_505,1
test_506,2
test_507,2
test_508,2
test_509,1
test_510,2
test_511,2
test_512,2
test_513,1
test_514,1
test_515,1
test_516,2
test_517,2
test_518,0
test_519,2
test_520,2
test_521,2
test_522,1
test_523,1
test_524,1
test_525,2
test_526,2
test_527,0
test_528,1
test_529,2
test_530,1
test_531,0
test_532,2
test_533,2
test_534,2
test_535,1
test_536,1
test_537,2
test_538,2
test_539,0
test_540,2
test_541,2
test_542,2
test_543,1
test_544,2
test_545,1
test_546,2
test_547,2
test_548,2
test_549,2
test_550,2
test_551,1
test_552,2
test_553,1
test_554,2
test_555,2
test_556,2
test_557,2
test_558,2
test_559,2
test_560,2
test_561,1
test_562,1
test_563,2
test_564,2
test_565,1
test_566,2
test_567,2
test_568,2
test_569,1
test_570,1
test_571,2
test_572,2
test_573,2
test_574,1
test_575,2
test_576,2
test_577,2
test_578,2
test_579,2
test_580,2
test_581,2
test_582,2
test_583,2
test_584,2
test_585,0
test_586,1
test_587,1
test_588,2
test_589,2
test_590,2
test_591,2
test_592,2
test_593,2
test_594,1
test_595,2
test_596,2
test_597,2
test_598,2
test_599,2
test_600,1
test_601,2
test_602,2
test_603,2
test_604,0
test_605,2
test_606,2
test_607,2
test_608,2
test_609,2
test_610,1
test_611,1
test_612,2
test_613,0
test_614,1
test_615,2
test_616,2
test_617,1
test_618,2
test_619,2
test_620,2
test_621,1
test_622,2
test_623,2
test_624,0
test_625,1
test_626,2
test_627,0
test_628,2
test_629,2
test_630,2
test_631,0
test_632,2
test_633,1
test_634,2
test_635,1
test_636,2
test_637,2
test_638,1
test_639,2
test_640,1
test_641,2
test_642,2
test_643,2
test_644,2
test_645,2
test_646,2
test_647,1
test_648,2
test_649,2
test_650,1
test_651,2
test_652,1
test_653,1
test_654,1
test_655,2
test_656,2
test_657,2
test_658,2
test_659,1
test_660,1
test_661,0
test_662,2
test_663,2
test_664,2
test_665,2
test_666,2
test_667,2
test_668,2
test_669,2
test_670,2
test_671,0
test_672,2
test_673,2
test_674,2
test_675,0
test_676,2
test_677,1
test_678,2
test_679,2
test_680,1
test_681,0
test_682,2
test_683,2
test_684,2
test_685,1
test_686,2
test_687,2
test_688,1
test_689,1
test_690,2
test_691,1
test_692,0
test_693,2
test_694,2
test_695,1
test_696,2
